Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
5	3	72.3133	-16.3006	-479.572	120556	-33182	26280.2	630.809	-251.382	0	66.6635	5.6498	-16.6513	32.9519	167.042	305.868	5.86367	0.798791	-66.0777	-3.08296	-489.591	123256	42444.5	-21882.7	86.6939	-251.753	0	-56.7869	-9.2908	24.2408	-21.1578	346.826	135.243	14.9446	-7.42269	6.23563	-19.3836	-969.163	243812	344963	-7012.9	355.939	-251.569	0
5	4	72.2359	-16.2386	-480.622	120813	-33575.2	26334.4	630.142	-251.369	0	66.6168	5.61909	-16.8212	33.0598	167.012	306.913	6.28739	0.409866	-66.1869	-2.99008	-489.948	123471	42483.3	-21902.6	86.7099	-252.008	0	-56.9428	-9.24415	24.1165	-21.1264	347.216	135.437	14.8471	-7.55235	6.04902	-19.2287	-970.57	244284	345343	-6935.26	355.815	-251.691	0
5	5	72.2669	-15.9899	-481.14	121162	-33373.2	26292.1	630.637	-251.823	0	66.6635	5.60339	-16.8062	32.7961	167.464	307.371	5.60462	0.700459	-65.9689	-2.7879	-491.668	123893	42781.6	-21863.6	87.013	-251.984	0	-56.8024	-9.16654	23.9613	-21.1734	348.451	135.858	14.5548	-7.19569	6.29792	-18.7778	-972.808	245055	346207	-6764.39	355.884	-251.905	0
5	6	72.5951	-15.9272	-482.666	121208	-33229.8	26416	631.153	-251.123	0	67.0538	5.54128	-16.8525	32.7797	167.984	307.697	5.66752	1.31732	-66.218	-2.74047	-492.48	123684	42784.6	-21920.9	86.8759	-251.145	0	-56.9427	-9.2753	24.0546	-21.3141	348.743	135.566	15.2696	-7.09872	6.37705	-18.6677	-975.146	244892	347421	-6654	356.276	-251.133	0
5	7	72.6738	-15.4312	-484.327	121490	-33322.5	26418.7	631.198	-250.842	0	67.0861	5.58768	-17.1155	32.5468	168.6	308.415	5.9939	1.31882	-66.3576	-2.67642	-494.006	124049	42906.7	-21981.2	86.8546	-251.109	0	-56.927	-9.43053	24.2719	-21.5955	349.913	135.858	15.464	-7.22837	6.31622	-18.1077	-978.333	245539	348613	-6364.45	356.334	-250.977	0
5	8	72.86	-15.2446	-484.787	121870	-33439.9	26427	631.021	-251.389	0	67.0703	5.78969	-17.3636	32.6082	168.86	309.1	5.7993	1.02679	-66.8707	-2.2248	-494.492	124548	42880.6	-21953.3	86.7165	-251.871	0	-57.1607	-9.70999	24.0078	-21.783	350.464	136.473	15.2042	-7.64964	5.98929	-17.4694	-979.278	246418	348791	-6197.39	356.172	-251.632	0
5	9	73.0944	-15.2909	-486.251	122317	-33662	26466.9	630.772	-251.551	0	67.2576	5.83682	-17.3487	32.6396	169.282	310.274	5.86364	0.831588	-66.6218	-2.11613	-496.471	124679	42932	-21975.8	86.4747	-251.132	0	-57.0983	-9.5235	23.9303	-21.8142	351.179	136.991	15.5291	-7.22809	6.4726	-17.407	-982.721	246996	349646	-6212.48	355.793	-251.339	0
6	0	73.0179	-14.8727	-486.613	122698	-33762	26553.4	630.618	-252.147	0	67.3674	5.65054	-17.5805	32.4532	169.509	310.928	5.63612	0.539567	-66.9639	-1.92936	-497.088	124865	43320.9	-21922.5	87.1495	-251.192	0	-57.1918	-9.77208	23.8061	-21.8767	352.121	136.699	15.2366	-6.96909	6.05402	-16.8021	-983.701	247563	350188	-5779.98	355.991	-251.665	0
6	1	73.1111	-14.9491	-487.781	122797	-33698.5	26586.2	630.915	-251.747	0	67.4456	5.66548	-17.5812	32.5303	169.93	311.288	5.70044	0.862784	-67.4461	-1.75638	-498.03	125352	43348	-22076.9	87.0391	-251.697	0	-57.5344	-9.91169	23.9614	-22.205	353.096	137.12	15.2692	-7.45526	5.66495	-16.7054	-985.811	248150	351096	-5954.97	356.15	-251.721	0
6	2	73.5164	-14.7482	-488.988	123051	-33886	26622.1	630.702	-251.644	0	67.711	5.80538	-17.6892	32.4374	170.158	312.135	5.86363	0.831602	-67.2282	-1.60062	-499.814	125536	43319	-22076.8	86.6705	-251.165	0	-57.4253	-9.80297	23.8837	-22.2831	353.81	137.638	15.6914	-7.32542	6.28815	-16.3488	-988.802	248586	351725	-5778.49	355.708	-251.402	0
